,id,date,image_src,content
0,Hururelly,0:00,"background-image: url(""https://i1.sndcdn.com/avatars-000373343927-cqf2xs-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;","God, I love this age. We now have plenty of songs for a LGBT+, anthem."
1,Tupou Estelle Vili,0:10,"background-image: url(""https://i1.sndcdn.com/avatars-000762501163-bta07r-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",Shes the queen 🥰🥰🤗🤗
2,Crazy_Asian_GurlXD,0:09,"background-image: url(""https://i1.sndcdn.com/avatars-97ztBlCJtINRrxXa-SzCbYg-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",This song makes meh feel LIKR A QUEEN 👑👑👑👽👽👽
3,Ash,0:59,"background-image: url(""https://i1.sndcdn.com/avatars-yn3V5FNrI8DBaGW7-I2TZcw-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",Byndoyo
4,Mary kons 7,1:46,"background-image: url(""https://i1.sndcdn.com/avatars-dPQuArxpgJeYJ23a-13Ru2Q-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",Queen
5,Sophia Dekkers,0:44,"background-image: url(""https://i1.sndcdn.com/avatars-000682460900-9uhabf-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",Follow the kings
6,Lorris Patrice Maximilien,0:32,"background-image: url(""https://i1.sndcdn.com/avatars-000823909408-5ciou8-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",Queen🤗
7,zoe kleintop,0:19,"background-image: url(""https://i1.sndcdn.com/avatars-000829521763-6urksi-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",lovethis
8,hannah,0:03,width:40px;height:40px;,i love this song
9,Nightcore DJ,1:06,"background-image: url(""https://i1.sndcdn.com/avatars-MLYBiDIGmbX9Xvv0-C0jnRg-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",MY MUM'S FAV
10,no-,0:34,"background-image: url(""https://i1.sndcdn.com/avatars-hLYsFGFXQ8qQSLN7-b44zaw-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",😍😍😍😍😍😍
11,Nightcore DJ,0:18,"background-image: url(""https://i1.sndcdn.com/avatars-MLYBiDIGmbX9Xvv0-C0jnRg-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",I love this song!
12,Mali Buuu,0:11,"background-image: url(""https://i1.sndcdn.com/avatars-000754778848-pl4xly-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",baby
13,Luna-Moon,0:24,"background-image: url(""https://i1.sndcdn.com/avatars-8J4yXbIaRzHjEWgc-SeVcHQ-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",yOU a QUeEn!
14,User 555262472,0:35,width:40px;height:40px;,Wow😀
15,Kim nguỷen,0:33,"background-image: url(""https://i1.sndcdn.com/avatars-000826547833-zh97xp-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",😍😍😍😍😍😍😍😍😍
16,Eliana Muscatello,1:55,"background-image: url(""https://i1.sndcdn.com/avatars-lvKguyNY0uyTSKya-yg2QLg-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",KINGS AND QUEENS
17,Eliana Muscatello,0:11,"background-image: url(""https://i1.sndcdn.com/avatars-lvKguyNY0uyTSKya-yg2QLg-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",Baby you're not dancing on your own😀😀🎶🎶
18,User 850353487,0:08,"background-image: url(""https://i1.sndcdn.com/avatars-000790175398-t9yfk3-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",queen and kings lets go
19,kate220984,0:21,"background-image: url(""https://i1.sndcdn.com/avatars-000607770825-3tcj8i-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",amazing
20,kate220984,0:21,"background-image: url(""https://i1.sndcdn.com/avatars-000607770825-3tcj8i-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",you really are a queen💎💎💎💎
21,kate220984,0:00,"background-image: url(""https://i1.sndcdn.com/avatars-000607770825-3tcj8i-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",your so good a singin
22,kate220984,0:00,"background-image: url(""https://i1.sndcdn.com/avatars-000607770825-3tcj8i-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",I wish I can sing like that 😢but I can't sing like her😿😿😿
23,pollarik,1:22,"background-image: url(""https://i1.sndcdn.com/avatars-U8VyhLTKxtTar06l-nBInRg-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",WHAT A BOP
24,Sweet Capricorn,0:08,"background-image: url(""https://i1.sndcdn.com/avatars-c3TZjXqE4JTF4j7r-ZSbDJw-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",ava max hav taken my heart aaaawww
25,DeAtHsCyThE606,0:26,"background-image: url(""https://i1.sndcdn.com/avatars-JdcKLas5gAoyLhX0-digMYA-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",ill show u how a real queen behaves
26,Lea Jordan,0:26,"background-image: url(""https://i1.sndcdn.com/avatars-000320718904-0v49kv-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",ʎoo
27,Alexa,0:26,"background-image: url(""https://i1.sndcdn.com/avatars-zaARXO8tgZqZCoL4-Zzdazw-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",Ava makes the most addicting songs 👌😍 QUEEEEN🔥
28,ALEXIA25,0:13,"background-image: url(""https://i1.sndcdn.com/avatars-hAiRYHv7Dzjb3Xzr-Klsodw-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",Noice
29,Ali Saffari,0:28,"background-image: url(""https://i1.sndcdn.com/avatars-000582201825-fboix2-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",I just liked this shit for its cover.
30,Alastor is my favorite character,0:28,"background-image: url(""https://i1.sndcdn.com/avatars-xdz1N4JIdD1MTQED-QgH66A-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",@ali-saffari-921465202 😂😂😂😂😂😂
31,الینا پورعبدیان,0:01,"background-image: url(""https://i1.sndcdn.com/avatars-000738023107-zyeayp-t120x120.jpg""); width: 40px; height: 40px; opacity: 1;",👑👑👑👑👑
